Day of isolation,Mean,Lower_CI,Upper_CI
0,0.9703,0.9488,0.9829
1,0.6733,0.6261,0.7172
2,0.6089,0.5605,0.6553
3,0.5099,0.4613,0.5583
4,0.5,0.4515,0.5485
5,0.4876,0.4392,0.5363
6,0.4728,0.4246,0.5215
7,0.4257,0.3784,0.4744
8,0.3045,0.2616,0.351
9,0.203,0.1666,0.2449
10,0.1386,0.1083,0.1757
11,0.1163,0.0886,0.1513
12,0.104,0.0778,0.1375
13,0.099,0.0736,0.132
14,0.0891,0.0651,0.1209
15,0.0842,0.0608,0.1153
16,0.0569,0.0382,0.084
17,0.0545,0.0362,0.0811
18,0.0545,0.0362,0.0811
19,0.0446,0.0284,0.0693
20,0.0371,0.0226,0.0603
21,0.0272,0.0153,0.0481
22,0.0223,0.0118,0.0418
23,0.0223,0.0118,0.0418
24,0.0223,0.0118,0.0418
25,0.0223,0.0118,0.0418
26,0.0124,0.0053,0.0286
27,0.0099,0.0039,0.0252
28,0.0099,0.0039,0.0252
29,0.0099,0.0039,0.0252
30,0.005,0.0014,0.0179
