Day of isolation,Mean,Lower_CI,Upper_CI
0,0.0,0.0,0.0
1,0.22727272727272727,0.0,1.0
2,0.7272727272727273,0.0,2.0
3,1.2272727272727273,0.0,3.0
4,1.7272727272727273,0.0,4.0
5,2.5,0.0,5.0
6,3.5,1.0,6.0
7,4.5,2.0,7.0
8,5.5,3.0,8.0
9,6.5,4.0,9.0
10,7.5,5.0,10.0
11,8.5,6.0,11.0
12,9.5,7.0,12.0
13,10.5,8.0,13.0
14,11.5,9.0,14.0
15,12.5,10.0,15.0
16,13.5,11.0,16.0
17,14.5,12.0,17.0
18,15.5,13.0,18.0
19,16.5,14.0,19.0
20,17.5,15.0,20.0
21,18.5,16.0,21.0
22,19.5,17.0,22.0
23,20.5,18.0,23.0
24,21.5,19.0,24.0
25,22.5,20.0,25.0
26,23.5,21.0,26.0
27,24.5,22.0,27.0
28,25.5,23.0,28.0
29,26.5,24.0,29.0
30,27.5,25.0,30.0
