Day of isolation,Mean,Lower_CI,Upper_CI
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,1.0
7,1.0,0.0,2.0
8,2.0,0.0,3.0
9,3.0,1.0,4.0
10,4.0,2.0,5.0
11,5.0,3.0,6.0
12,6.0,4.0,7.0
13,7.0,5.0,8.0
14,8.0,6.0,9.0
15,9.0,7.0,10.0
16,10.0,8.0,11.0
17,11.0,9.0,12.0
18,12.0,10.0,13.0
19,13.0,11.0,14.0
20,14.0,12.0,15.0
21,15.0,13.0,16.0
22,16.0,14.0,17.0
23,17.0,15.0,18.0
24,18.0,16.0,19.0
25,19.0,17.0,20.0
26,20.0,18.0,21.0
27,21.0,19.0,22.0
28,22.0,20.0,23.0
29,23.0,21.0,24.0
30,24.0,22.0,25.0
